"","ID","EARNINGS","S","EXP","BYEAR","AGE","AGEMBTH","HHINC97","POVRAT97","PRMONM","PRMONF","ASVABAR","ASVABWK","ASVABPC","ASVABMK","ASVABNO","ASVABCS","ASVABC","ASVABC4","VERBAL","ASVABMV","HEIGHT","WEIGHT04","WEIGHT11","SF","SM","SFR","SMR","SIBLINGS","JOBS","HOURS","TENURE","CATSE","COLLBARG","SEX","ETHNICITY","EDUCATION","MARITALSTAT","FAITH","METSTAT97","AREA97","CENREG97","HOUSE97","MATSTYLE","PATSTYLE","CATEMP","METSTAT11","CENREG11","AREA11"
"397",4098,10,16,8.711538,1981,30,23,NA,NA,NA,NA,-0.2418364,-0.6638962,-0.140527,0.3299696,-0.6727037,-1.052821,-0.3543957,-0.2010689,-0.4293725,34454,69,150,200,12,12,12,12,1,4,40,1.461538,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother and father",NA,NA,"Government","MSA, not central city","West","Rural"
"774",3251,11.3,12,9.403846,1983,28,24,48797,195,12,8,1.000338,0.5746059,1.378324,0.7737914,1.042689,-0.1879638,1.08595,1.042318,1.041061,84136,67,155,190,12,12,12,12,3,6,40,4.75,"No","No","Female","Hispanic","High school diploma","Cohabiting","Catholic","MSA, central city","Urban","North central","Biological mother, other father","Uninvolved","Authoritative","Private sector","MSA, central city","North central","Urban"
"1121",6435,22,16,2.384615,1981,30,34,73650,583,NA,NA,-0.1906886,0.8352342,0.5556231,-1.031239,-0.9950087,-0.2408822,0.2769456,0.0466429,0.7413202,53021,73,211,175,18,16,18,16,2,7,40,5.269231,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Other single","Protestant","Not in MSA","Urban","West","Biological mother and father",NA,NA,"Private sector","MSA, central city","South","Rural"
"1693",2189,28.75,12,11.78846,1981,30,21,NA,NA,NA,NA,0.3346411,-0.4180252,0.8525432,-0.0410763,-0.747551,0.6648731,0.3028635,0.2031112,0.2313264,49275,70,155,170,12,12,12,12,5,3,40,9.230769,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Missing value","MSA, not central city","Urban","North east","Biological mother, other father",NA,NA,"Government","MSA, not central city","West","Urban"
"1668",4663,17.19,13,11.75,1980,31,29,55000,436,NA,NA,1.19587,0.1488754,0.2189595,1.045704,0.7499635,-0.935508,0.7578468,0.7295643,0.1957658,68064,70,205,230,14,12,14,12,3,4,40,7.038462,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, central city","Urban","West","Biological mother and father","Permissive","Permissive","Missing value","MSA, central city","South","Urban"
"163",1261,28,14,7.769231,1981,30,19,65000,310,NA,NA,-0.5135587,-0.8756185,-0.8822714,-2.41259,-0.4806396,-0.063222,-0.7657257,-1.311368,-0.9378345,13241,73,140,135,13,12,13,12,3,1,40,10.19231,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","North central","Biological mother and father",NA,NA,"Private sector","MSA, central city","North central","Urban"
"1971",6500,8.7,12,7.538462,1981,30,37,29200,231,NA,NA,0.0107055,0.6018844,-0.1950179,0.308767,0.2109559,0.1555805,0.1172394,0.2026232,0.2165805,57864,64,140,130,14,12,NA,12,4,14,15,0.9423077,"No","No","Female","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","Not in MSA","Urban","West","Biological mother only",NA,NA,"Private sector","MSA, not central city","South","Rural"
"286",417,21.37,16,6.980769,1983,28,28,246474,1627,13,12,-0.2954046,-0.1140607,-1.14939,-0.1941085,0.3379045,0.4086004,-0.5099694,-0.4911622,-0.6741613,28489,64,138,135,16,14,16,NA,0,4,45,1.173077,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Jewish","MSA, central city","Urban","West","Biological father only","Uninvolved","Permissive","Non-profit","MSA, central city","South","Urban"
"1000",3182,8.75,12,7.346154,1984,27,31,NA,NA,12,NA,0.1879512,0.3525202,0.3065557,0.2445093,-0.0640551,0.312912,0.2839522,0.3048168,0.351078,61002,62,115,130,16,18,16,18,1,5,40,4.25,"No","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, central city","Urban","North central","Biological mother, other father","Authoritative",NA,"Private sector","MSA, central city","South","Urban"
"1006",278,19.23,12,12.55769,1980,31,27,62040,390,NA,NA,0.4915229,0.3116511,0.0299091,0.5707651,-0.6108063,0.0777785,0.3635378,0.3922113,0.1817542,63505,72,180,200,16,14,16,14,1,6,40,5.269231,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Jewish","MSA, not central city","Rural","North east","Biological mother and father","Authoritarian","Authoritarian","Private sector","MSA, central city","West","Urban"
"305",2768,15.5,20,2.769231,1982,29,29,NA,NA,12,12,0.9232242,0.9604343,1.40546,0.9412514,1.428421,1.452289,1.157047,1.18316,1.261285,91993,61,130,150,19,16,19,16,2,7,12,0.8846154,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Missing value","MSA, central city","Urban","North central","Biological mother and father","Permissive","Permissive","Non-profit","MSA, central city","North east","Urban"
"157",4008,25.64,17,3.865385,1983,28,22,78200,491,13,7,1.034436,0.352639,0.9290516,0.6815599,0.732419,-0.097887,0.9202421,0.8382165,0.6831042,76716,69,175,200,12,13,12,13,1,5,45,3.865385,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Catholic","MSA, not central city","Rural","South","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, central city","West","Urban"
"412",2722,22,14,7.307693,1981,30,NA,NA,NA,NA,NA,-0.1278196,-0.5386841,-0.8800473,0.139146,-0.1134923,0.4703819,-0.4605384,-0.3944643,-0.756969,31176,68,160,145,10,10,NA,NA,2,4,40,8.096154,"No","No","Female","Black","Associate's degree","Single, never married","Missing value","MSA, central city","Urban","North central","Other",NA,NA,"Non-profit","MSA, not central city","South","Urban"
"722",176,25.64,17,6.653846,1982,29,26,NA,NA,13,13,1.043634,0.8648178,0.8716713,2.011984,0.9597189,2.022048,1.050269,1.340351,0.9256377,90292,72,195,200,18,13,18,13,2,8,45,5.692307,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Rural","North east","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","North east","Urban"
"116",2261,10,12,10.17308,1980,31,22,37100,198,NA,NA,-0.55594,0.8329888,-0.8764203,-0.2359947,-0.6741133,-0.5864213,-0.3179083,-0.2343901,-0.0235531,36480,67,170,180,11,13,11,14,2,16,45,0.6730769,"No","No","Male","Non-black, non-hispanic","High school diploma","Cohabiting","Catholic","MSA, not central city","Urban","North east","Other mother, biological father","Uninvolved","Uninvolved","Private sector","MSA, not central city","North east","Urban"
"944",3416,25,16,8.596154,1981,30,32,246474,1627,NA,NA,0.2984115,-0.0105167,0.6968548,0.9819503,-0.6326423,-0.7651357,0.3521493,0.5497146,0.3656163,69116,63,130,176,15,14,15,14,1,3,40,7.038462,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","South","Biological mother and father",NA,NA,"Private sector","MSA, not central city","West","Rural"
"1094",3418,22.3,16,7.384615,1982,29,26,72150,453,12,6,0.3243695,0.229651,0.1999866,0.1196497,0.7541362,1.188292,0.2958774,0.2438473,0.2287238,50379,67,160,155,16,18,16,18,1,6,40,4.365385,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father","Authoritative","Authoritative","Government","MSA, not central city","West","Rural"
"337",2090,25,17,2.826923,1983,28,26,115157,615,9,8,1.469192,1.474995,2.154542,2.261156,1.059999,1.686819,1.804326,2.058894,1.935157,99241,61,115,113,16,16,16,16,2,5,65,2.365385,"No","Yes","Female","Non-black, non-hispanic","Master's degree","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Authoritative","Authoritarian","Government","MSA, central city","North east","Urban"
"886",4290,12.5,13,9.038462,1980,31,33,145900,760,NA,NA,-0.0263479,0.708915,0.9595919,1.151717,-0.5786582,1.035585,0.4435568,0.781184,0.8893844,76579,66,125,145,16,14,16,14,3,9,25,0.5,"No","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, not known","Urban","South","Biological mother, other father","Authoritarian","Authoritarian","Private sector","MSA, not central city","North east","Urban"
"766",4536,21,18,2.711539,1982,29,26,53040,226,10,8,1.072405,0.7692013,1.407684,0.7822317,1.180139,0.1432138,1.187096,1.127516,1.160491,87426,66,125,125,20,4,20,4,4,4,20,3.153846,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Protestant","MSA, not central city","Urban","West","Biological mother and father","Permissive","Authoritative","Government","MSA, not central city","South","Urban"
"912",3475,16.16,16,4.692307,1984,27,31,80000,382,11,10,0.9168063,0.7827946,1.570969,0.960098,1.089648,1.317783,1.150186,1.183243,1.254816,93375,69,180,220,16,13,16,13,3,6,45,4.115385,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother and father","Authoritative","Permissive","Missing value","MSA, central city","West","Urban"
"596",1457,28.72,16,6.230769,1983,28,26,93000,585,10,5,1.533127,1.297421,1.798683,1.944176,2.704826,0.6398703,1.692883,1.838814,1.650689,98996,74,180,201,20,16,20,16,1,4,40,5.288462,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Jewish","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Permissive","Private sector","MSA, central city","North east","Urban"
"1663",1813,62.5,14,10.53846,1981,30,20,45530,217,NA,NA,-0.5433949,0.374226,-0.9890292,-0.4471066,0.3941174,-2.303611,-0.4680188,-0.4498427,-0.3282526,26850,73,195,240,12,12,15,12,3,4,20,8.557693,"Yes","No","Male","Non-black, non-hispanic","High school diploma","Cohabiting","Catholic","MSA, not central city","Urban","North central","Biological mother, other father",NA,NA,"Private sector","MSA, central city","North central","Urban"
"646",5502,10,12,12.55769,1981,30,25,11500,55,NA,NA,-0.6584772,-1.873901,-1.55618,-0.4142425,-0.9880845,-0.7267985,-1.304863,-1.260652,-1.829576,10675,74,180,195,9,12,9,12,3,5,60,4.692307,"Yes","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","Not in MSA","Rural","North central","Biological mother and father",NA,NA,"Private sector","MSA, not central city","North central","Rural"
"1865",4837,15.29,16,5.269231,1980,31,30,83000,432,NA,NA,0.0354557,0.6520004,0.778326,0.3629794,0.0204498,0.1825045,0.4120737,0.5111151,0.7623682,66693,64,120,155,12,16,12,16,2,9,40,1.134615,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North east","Biological mother and father","Authoritative","Permissive","Private sector","MSA, central city","West","Urban"
"23",1768,12.35,13,10.30769,1980,31,23,44000,348,NA,NA,-0.6252025,-0.004794,-0.4327081,-1.173151,-0.0903374,0.2607373,-0.4642581,-0.6262903,-0.2337019,21099,70,238,250,12,12,NA,12,3,4,40,2.403846,"No","No","Male","Black","High school diploma","Single, never married","Protestant","MSA, central city","Urban","North central","Biological mother only","Permissive",NA,"Private sector","MSA, not central city","North central","Urban"
"475",4283,26,16,7.442307,1982,29,34,63500,386,10,9,0.0803522,0.2034702,0.0465222,0.275489,0.537178,0.9613857,0.1124085,0.1689021,0.1329232,55597,66,98,101,12,12,12,12,1,5,24,1.576923,"No","No","Female","Hispanic","Associate's degree","Married, spouse present","Catholic","MSA, central city","Urban","South","Biological mother and father","Uninvolved","Permissive","Missing value","MSA, central city","West","Urban"
"1740",3528,18.75,10,10.80769,1983,28,20,35750,171,5,5,-0.6108155,-0.8459824,-0.8858314,-1.057055,-0.3017596,-0.4597527,-0.8120099,-0.9519656,-0.9239287,13008,67,177,195,10,13,10,13,4,6,40,7.865385,"Yes","No","Male","Non-black, non-hispanic","GED","Married, spouse present","Protestant","MSA, not central city","Rural","South","Biological mother, other father","Permissive","Permissive","Private sector","Not in MSA","West","Rural"
"590",5724,15.38,17,6.826923,1981,30,21,34700,275,NA,NA,-0.2418364,0.2194183,-0.1483114,0.6607305,1.273491,-0.2792194,-0.1138124,0.1364886,0.0375276,47018,71,175,160,12,13,NA,NA,2,5,40,4.307693,"No","No","Male","Black","Bachelor's degree","Married, spouse present","Protestant","Not in MSA","Rural","South","Other",NA,NA,"Private sector","MSA, not central city","West","Urban"
"301",5457,18.4,12,8.519231,1984,27,27,58800,370,8,0,0.1826233,-0.5706345,0.6368377,-0.0979131,-0.0934005,0.2287572,0.1181111,0.0416014,0.0349126,39779,62,135,153,4,12,4,12,1,5,38,3.807692,"No","No","Female","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","Not in MSA","Urban","North central","Biological mother and father","Uninvolved","Authoritarian","Private sector","MSA, not central city","North central","Urban"
"1714",4064,40.58,17,6.865385,1981,30,33,NA,NA,NA,NA,1.057103,0.6018844,0.4777788,1.163233,0.8798005,0.5704327,0.8771846,0.9228128,0.5753676,86453,72,155,180,16,14,NA,14,2,7,45,4.942307,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother only",NA,NA,"Non-profit","MSA, not central city","West","Rural"
"1327",4797,12.25,12,8.480769,1984,27,20,63900,402,5,4,0.6514775,1.273398,1.618787,0.5339252,0.0618993,0.4715595,1.15232,1.140406,1.541944,81956,62,207,180,12,16,14,16,2,5,40,0.8076923,"No","No","Female","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Urban","West","Biological mother, other father","Uninvolved","Uninvolved","Private sector","MSA, central city","West","Urban"
"189",4006,24,14,8.461538,1984,27,30,37650,196,9,6,-0.3299196,-0.2189023,-0.0626485,-0.0332451,0.0592616,0.1838746,-0.2591257,-0.1810401,-0.1505366,31636,71,150,155,13,12,13,12,2,3,40,4.461538,"No","No","Male","Hispanic","Associate's degree","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father","Permissive","Permissive","Private sector","MSA, central city","West","Urban"
"690",6354,30.77,19,6.230769,1980,31,33,126500,1002,NA,NA,1.635953,1.237082,1.84924,1.748571,0.241035,1.344153,1.746706,1.810114,1.645473,97542,71,155,160,20,17,20,17,2,7,50,5.692307,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Urban","West","Biological mother and father","Permissive","Permissive","Private sector","MSA, central city","North east","Urban"
"1978",2457,11.75,13,9.653846,1983,28,20,6000,38,15,NA,0.0732853,0.4027238,-0.2864307,-0.7464369,-0.266644,0.4478727,0.0717861,-0.156455,0.0616244,46657,63,142,170,12,12,NA,12,5,5,52,1.730769,"No","Yes","Female","Non-black, non-hispanic","GED","Other single","Protestant","MSA, not central city","Urban","North east","Biological mother only","Uninvolved",NA,"Private sector","MSA, not central city","North east","Urban"
"1984",5638,12,14,10.23077,1981,30,24,NA,NA,NA,NA,-0.1310163,0.1738866,0.3954863,-0.7375826,0.6387725,-0.7520449,0.0840076,-0.0843615,0.3032414,39153,64,140,140,12,12,12,12,3,8,30,0.3076923,"No","No","Female","Black","High school diploma","Single, never married","Missing value","Not in MSA","Urban","South","Biological mother and father",NA,NA,"Private sector","MSA, central city","West","Urban"
"182",299,29.07,13,6.134615,1981,30,34,NA,NA,NA,NA,0.0224269,-0.7515447,-1.423845,-0.5859839,0.592776,0.5467446,-0.5858862,-0.7670708,-1.160478,18566,73,250,250,12,12,12,12,1,5,16,2,"Yes","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","North east","Biological mother and father",NA,NA,"Private sector","MSA, central city","North east","Urban"
"1474",5091,18.46,16,1.903846,1984,27,32,123700,572,10,6,1.640334,1.147048,1.495349,1.423375,0.6666127,0.9836572,1.627129,1.596116,1.408737,98071,66,140,200,18,16,18,16,2,7,50,1.096154,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Catholic","Not in MSA","Rural","North central","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, central city","West","Urban"
"635",2701,22.95,14,8.038462,1980,31,24,96300,585,NA,NA,0.7632452,1.465879,1.921524,0.8018738,0.7880467,1.046182,1.349823,1.38524,1.806033,89196,72,165,155,14,16,14,16,1,8,35,7.192307,"No","Yes","Male","Non-black, non-hispanic","Associate's degree","Single, never married","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Authoritarian","Government","MSA, not central city","North central","Urban"
"772",5622,9,17,2.807692,1984,27,26,NA,NA,7,6,0.2028693,1.37243,-0.0326228,1.38097,1.494384,0.5030396,0.479206,0.8174977,0.7140962,77431,64,125,129,12,12,12,12,1,6,40,0.2692308,"No","No","Female","Black","Bachelor's degree","Single, never married","Protestant","Not in MSA","Rural","South","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","West","Urban"
"177",2678,19.5,14,5.884615,1984,27,25,64544,406,13,14,0.0749999,-0.0390522,-0.3818099,-0.1212359,0.0902556,-1.898178,-0.0748743,-0.1313373,-0.2248282,38690,70,170,210,14,13,14,13,1,1,40,5.884615,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","West","Urban"
"411",2571,12,12,9.461538,1984,27,29,63000,396,8,6,0.0909836,-0.638932,-0.1204756,-0.2696543,0.6933203,-0.6863487,-0.1591176,-0.2631322,-0.4053667,31842,61,140,145,12,12,12,12,1,4,36,1.173077,"No","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Rural","North central","Biological mother and father","Permissive","Permissive","Private sector","MSA, central city","North central","Urban"
"1303",700,4.84,10,9.211538,1980,31,21,28800,228,NA,NA,-1.78242,-1.716785,-2.032963,-2.417745,-1.945693,-2.19783,-2.01039,-2.22526,-2.000047,2379,62,150,155,11,11,NA,11,3,6,48,10.03846,"Yes","No","Female","Black","GED","Single, never married","Protestant","MSA, central city","Urban","North central","Biological mother only","Permissive",NA,"Private sector","MSA, central city","North central","Urban"
"255",4167,7.15,11,6.634615,1982,29,33,NA,NA,15,15,-1.677851,-0.8414817,-1.729439,-1.617905,-1.53596,-0.5745957,-1.628997,-1.642306,-1.371405,8527,61,180,155,9,12,9,12,2,NA,14,6.826923,"No","No","Female","Hispanic","GED","Cohabiting","Protestant","MSA, central city","Urban","South","Biological mother and father","Uninvolved","Uninvolved","Private sector","MSA, central city","West","Urban"
"856",2577,20.63,16,6.307693,1980,31,29,43500,273,NA,NA,0.1601282,-0.1891973,0.6593354,0.5707651,1.255595,1.347893,0.2167441,0.3354569,0.2503218,59442,65,120,118,15,13,15,13,1,6,40,4.288462,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, central city","Urban","North central","Biological mother and father","Permissive","Uninvolved","Missing value","MSA, central city","North central","Urban"
"1659",831,14.25,16,3.807692,1984,27,23,43600,345,14,16,0.7058219,0.2523506,0.3610466,0.2964558,0.7645406,-0.0371097,0.5560074,0.4514869,0.3267186,76002,71,235,310,19,13,19,NA,1,6,40,3.384615,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological father only","Permissive","Authoritative","Private sector","MSA, not central city","North central","Urban"
"26",4014,10,12,12.01923,1980,31,30,32200,196,NA,NA,0.1601282,0.6975321,1.180892,-0.0006456,1.250154,0.0995964,0.603721,0.5696404,1.001328,74589,68,150,163,10,14,10,14,2,7,40,0.5769231,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father","Permissive","Uninvolved","Private sector","MSA, central city","West","Urban"
"846",4406,23.08,16,7.307693,1982,29,27,58600,313,6,4,0.7633876,1.086785,1.481081,1.392867,-0.1184777,0.7341677,1.124704,1.321326,1.368992,97182,67,145,125,12,16,12,16,2,7,45,3.596154,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Urban","West","Biological mother and father","Permissive","Authoritarian","Private sector","MSA, central city","West","Urban"
"461",6301,11.24,12,6.884615,1983,28,30,13731,127,8,NA,1.183617,1.852908,1.366091,0.7674306,0.559314,0.5834555,1.534573,1.44611,1.716226,95602,64,245,299,12,18,NA,18,0,3,40,4.519231,"No","No","Female","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Urban","West","Biological mother only","Permissive",NA,"Private sector","MSA, not central city","South","Urban"
"91",6001,10.5,9,6.365385,1984,27,23,27300,172,11,NA,0.3339353,-0.0823073,-0.218337,-0.4753198,-0.9679928,-0.8908137,0.1004635,-0.1243221,-0.1607187,51472,71,165,153,12,12,NA,12,4,5,35,2.980769,"No","No","Male","Non-black, non-hispanic","GED","Cohabiting","Protestant","MSA, not central city","Urban","South","Biological mother only","Permissive",NA,"Private sector","MSA, not central city","West","Urban"
"1954",5753,8.5,10,2.442308,1984,27,20,43300,272,12,12,-0.6059042,1.181197,-0.3996029,-0.8919514,0.4635029,-0.1274983,-0.118662,-0.201061,0.416414,39885,63,115,120,12,14,12,14,1,9,40,0.5,"No","No","Female","Non-black, non-hispanic","GED","Married, spouse present","Catholic","MSA, not central city","Rural","South","Biological mother and father","Authoritative","Authoritarian","Private sector","MSA, not central city","West","Urban"
"322",857,8,14,6.980769,1980,31,28,132096,830,NA,NA,1.249149,0.2854704,0.3713118,0.9820961,0.7316639,1.020624,0.8665259,0.8075303,0.3498548,76355,68,145,170,12,13,12,13,1,4,10,0.8846154,"No","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","West","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","South","Rural"
"677",3449,18.5,17,5.134615,1981,30,21,NA,NA,NA,NA,-0.5849524,0.858,-0.1516476,0.1370257,1.800059,2.429943,-0.1278228,0.0716867,0.3762895,48583,75,165,173,12,16,17,16,0,10,40,0.5961539,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Protestant","MSA, not central city","Urban","South","Biological mother, other father",NA,NA,"Private sector","MSA, central city","West","Urban"
"1174",3543,10,9,6.673077,1982,29,35,23600,187,13,2,-2.567608,-0.7242376,-0.8698158,-2.018635,-1.787539,-0.085251,-1.849553,-1.730067,-0.8504642,10865,74,140,140,10,11,10,11,3,5,40,2.865385,"No","No","Male","Black","GED","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father","Permissive","Uninvolved","Private sector","MSA, not central city","West","Rural"
"1890",5836,17.65,14,12.38461,1980,31,23,NA,NA,NA,NA,0.4947196,-0.1368359,0.7583089,0.9905772,1.429524,1.340101,0.4422107,0.5889105,0.3310252,61206,66,150,179,7,13,9,13,4,4,40,8.692307,"No","No","Female","Non-black, non-hispanic","Associate's degree","Single, never married","Protestant","Not in MSA","Urban","South","Biological mother, other father","Permissive",NA,"Private sector","MSA, not central city","West","Rural"
"1292",5886,13.94,15,7.153846,1982,29,25,54400,224,13,NA,0.2870743,0.80335,0.2177795,0.7599689,0.0770485,1.096033,0.4379147,0.5781098,0.544153,69038,64,140,140,13,14,13,14,4,9,40,1.192308,"No","No","Female","Non-black, non-hispanic","Associate's degree","Married, spouse present","Protestant","Not in MSA","Rural","South","Biological mother and father","Authoritative",NA,"Private sector","MSA, central city","West","Urban"
"968",6173,21.63,16,2.057692,1983,28,27,65800,414,11,NA,0.5900905,-0.271145,0.8423109,0.3720016,1.151333,1.042567,0.4808002,0.4284241,0.3041976,65446,65,175,156,12,13,16,13,0,5,38,4.096154,"No","No","Female","Non-black, non-hispanic","Associate's degree","Married, spouse present","Protestant","Not in MSA","Urban","South","Biological mother, other father","Permissive",NA,"Missing value","Not in MSA","West","Rural"
"32",113,14.8,17,2.442308,1984,27,21,66600,361,9,NA,0.7164777,0.7486458,1.210661,0.2243668,2.229503,1.278822,0.9317004,0.8109232,1.044461,76838,74,161,190,12,15,NA,15,5,6,35,0.7307692,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Catholic","MSA, central city","Urban","North east","Biological mother only","Uninvolved",NA,"Private sector","MSA, central city","North east","Rural"
"1812",2056,18.16,16,5.615385,1984,27,34,NA,NA,5,5,1.137381,1.274537,1.59877,1.708551,0.3980527,1.046929,1.414171,1.599791,1.531877,94948,68,150,204,16,13,16,13,3,4,45,4.903846,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Catholic","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Authoritarian","Private sector","MSA, not central city","West","Urban"
"413",585,18.6,19,3.769231,1983,28,20,NA,NA,NA,12,1.06001,0.7988493,1.676356,1.635678,0.9337153,-0.1767431,1.262258,1.446347,1.319579,91965,65,120,122,13,10,13,10,4,4,40,7.5,"No","Yes","Female","Non-black, non-hispanic","Master's degree","Married, spouse present","Missing value","MSA, not central city","Urban","West","Biological mother and father",NA,"Uninvolved","Government","MSA, not central city","South","Urban"
"101",5436,20,11,10.59615,1982,29,26,11242,71,7,4,0.7804368,-0.0128052,0.5691907,-0.0128667,-0.1946439,-1.033395,0.5813476,0.3698548,0.2963156,59568,71,140,142,11,9,11,9,3,9,37,2.846154,"No","No","Male","Non-black, non-hispanic","GED","Single, never married","Protestant","Not in MSA","Urban","North central","Biological mother and father","Permissive","Uninvolved","Private sector","MSA, not central city","North central","Rural"
"710",8934,14.24,14,3.634615,1983,28,36,51015,404,10,8,0.5144345,-0.5579945,-0.8847193,-0.028728,0.4216543,0.4974305,-0.1141639,-0.2684291,-0.7697583,35225,71,240,235,14,13,14,13,2,4,40,1,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Urban","South","Biological mother and father","Permissive","Permissive","Government","MSA, not central city","West","Urban"
"807",1075,23.39,20,2,1983,28,16,61700,489,NA,NA,0.3599257,0.3048307,0.8400868,0.9338712,1.432258,1.722039,0.5119669,0.6817988,0.6101662,70261,65,138,175,12,16,NA,NA,2,3,37,4.961538,"No","No","Female","Black","Master's degree","Married, spouse present","Protestant","MSA, not central city","Urban","South","Other",NA,NA,"Government","MSA, central city","West","Urban"
"1021",5409,13,12,6.596154,1982,29,25,68500,366,10,8,0.7090431,0.5870746,-0.4405604,0.3793819,0.5841636,-0.0790173,0.4294848,0.3449453,0.0777406,69608,64,145,140,12,20,12,20,2,7,40,0.9038461,"No","No","Male","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","Not in MSA","Rural","North central","Biological mother and father","Uninvolved","Uninvolved","Private sector","Not in MSA","North central","Rural"
"660",2500,15.45,12,8.173077,1983,28,22,36115,172,8,8,0.028531,-1.151045,-0.5388685,0.4833153,0.1258921,1.154462,-0.4491295,-0.3302883,-0.901584,32536,72,185,185,12,13,12,13,3,3,40,7.384615,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","North east","Rural"
"438",1169,15,12,9.019231,1983,28,26,NA,NA,11,9,-0.5404874,-0.4111549,-0.8024268,-0.707212,0.2553087,-0.1954442,-0.6309568,-0.6893713,-0.6475673,19887,63,140,150,12,14,12,14,4,9,32,1.346154,"No","No","Female","Non-black, non-hispanic","High school diploma","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Authoritarian","Permissive","Private sector","MSA, not central city","West","Urban"
